timestamp,hostname,metric,value
2026-07-23T14:59:17.472000,10.0.1.10,cpu_percent,34.85264095215696
2026-07-23T15:04:17.472000,10.0.1.10,cpu_percent,4.35973352195488
2026-07-23T15:09:17.472000,10.0.1.10,cpu_percent,4.384313921526768
2026-07-23T15:14:17.472000,10.0.1.10,cpu_percent,4.292052675784845
2026-07-23T15:19:17.472000,10.0.1.10,cpu_percent,4.561904761898674
2026-07-23T15:24:17.472000,10.0.1.10,cpu_percent,4.488777461121714
2026-07-23T15:29:17.472000,10.0.1.10,cpu_percent,4.8732985240365565
2026-07-23T15:34:17.472000,10.0.1.10,cpu_percent,4.285416666673314
2026-07-23T15:39:17.472000,10.0.1.10,cpu_percent,4.360924006649924
2026-07-23T15:44:17.472000,10.0.1.10,cpu_percent,4.620747291032117
2026-07-23T15:49:17.472000,10.0.1.10,cpu_percent,4.936904761943012
2026-07-23T15:54:17.472000,10.0.1.10,cpu_percent,5.053107901543669
2026-07-23T15:59:17.472000,10.0.1.10,cpu_percent,4.252976190459563
2026-07-23T16:04:17.472000,10.0.1.10,cpu_percent,4.267350471274568
2026-07-23T16:09:17.472000,10.0.1.10,cpu_percent,4.3598214284810695
2026-07-23T16:14:17.472000,10.0.1.10,cpu_percent,4.259523809430121
2026-07-23T16:19:17.472000,10.0.1.10,cpu_percent,4.197619047647876
2026-07-23T16:24:17.472000,10.0.1.10,cpu_percent,4.203869047535889
2026-07-23T16:29:17.472000,10.0.1.10,cpu_percent,4.230654761874277
2026-07-23T16:34:17.472000,10.0.1.10,cpu_percent,4.1741071428017165
2026-07-23T16:39:17.472000,10.0.1.10,cpu_percent,4.283333333358826
2026-07-23T16:44:17.472000,10.0.1.10,cpu_percent,4.188988095210391
2026-07-23T16:49:17.472000,10.0.1.10,cpu_percent,4.258035714253012
2026-07-23T16:54:17.472000,10.0.1.10,cpu_percent,4.188690476155571
2026-07-23T16:59:17.472000,10.0.1.10,cpu_percent,4.241964285694337
2026-07-23T17:04:17.472000,10.0.1.10,cpu_percent,4.279464285743103
2026-07-23T17:09:17.472000,10.0.1.10,cpu_percent,4.1922619047718825
2026-07-23T17:14:17.472000,10.0.1.10,cpu_percent,4.25535714284274
2026-07-23T17:19:17.472000,10.0.1.10,cpu_percent,4.2077380951793515
2026-07-23T17:24:17.472000,10.0.1.10,cpu_percent,4.162797619023223
2026-07-23T17:29:17.472000,10.0.1.10,cpu_percent,4.293750000014413
2026-07-23T17:34:17.472000,10.0.1.10,cpu_percent,4.441071428535949
2026-07-23T17:39:17.472000,10.0.1.10,cpu_percent,4.490178571431898
2026-07-23T17:44:17.472000,10.0.1.10,cpu_percent,4.327888056327737
2026-07-23T17:49:17.472000,10.0.1.10,cpu_percent,4.252380952322184
2026-07-23T17:54:17.472000,10.0.1.10,cpu_percent,4.241071428571431
2026-07-23T17:59:17.472000,10.0.1.10,cpu_percent,4.253571428624653
2026-07-23T18:04:17.472000,10.0.1.10,cpu_percent,4.253869047582455
2026-07-23T18:09:17.472000,10.0.1.10,cpu_percent,4.208035714248027
2026-07-23T18:14:17.472000,10.0.1.10,cpu_percent,4.390773809559292
2026-07-23T18:19:17.472000,10.0.1.10,cpu_percent,4.2723214285935995
2026-07-23T18:24:17.472000,10.0.1.10,cpu_percent,4.252887520678357
2026-07-23T18:29:17.472000,10.0.1.10,cpu_percent,4.252083333308946
2026-07-23T18:34:17.472000,10.0.1.10,cpu_percent,4.217857142877108
2026-07-23T18:39:17.472000,10.0.1.10,cpu_percent,4.194047619073132
2026-07-23T18:44:17.472000,10.0.1.10,cpu_percent,4.301190476260331
